fp_resample_aal , registered
fp_resample_fmri_stereo , registered
fp_t1_preprocess_subject1 , registered
fp_resample_aal , running
fp_resample_aal , finished
fp_resample_fmri_stereo , running
fp_resample_fmri_stereo , finished
fp_slice_timing_subject1_session1_motor , registered
fp_t1_preprocess_subject1 , running
fp_t1_preprocess_subject1 , finished
fp_t1_preprocess_subject2 , registered
fp_slice_timing_subject1_session1_motor , running
fp_slice_timing_subject1_session1_motor , finished
fp_t1_preprocess_subject2 , running
fp_t1_preprocess_subject2 , finished
fp_motion_target_subject1_session1_motor , registered
fp_slice_timing_subject2_session1_motor , registered
fp_motion_target_subject1_session1_motor , running
fp_motion_target_subject1_session1_motor , finished
fp_qc_coregister_group_anat_stereolin , registered
fp_slice_timing_subject2_session1_motor , running
fp_slice_timing_subject2_session1_motor , finished
fp_qc_coregister_group_anat_stereolin , running
fp_qc_coregister_group_anat_stereolin , finished
fp_anat2func_subject1 , registered
fp_motion_Wrun_subject1_session1_motor , registered
fp_anat2func_subject1 , running
fp_anat2func_subject1 , finished
fp_motion_target_subject2_session1_motor , registered
fp_motion_Wrun_subject1_session1_motor , running
fp_motion_Wrun_subject1_session1_motor , finished
fp_concat_transf_nl_subject1 , registered
fp_motion_target_subject2_session1_motor , running
fp_motion_target_subject2_session1_motor , finished
fp_motion_parameters_subject1_session1_motor , registered
fp_concat_transf_nl_subject1 , running
fp_concat_transf_nl_subject1 , finished
fp_motion_Wrun_subject2_session1_motor , registered
fp_motion_parameters_subject1_session1_motor , running
fp_motion_parameters_subject1_session1_motor , finished
fp_motion_Wrun_subject2_session1_motor , running
fp_motion_Wrun_subject2_session1_motor , finished
fp_anat2func_subject2 , registered
fp_resample_subject1_session1_motor , registered
fp_anat2func_subject2 , running
fp_anat2func_subject2 , finished
fp_motion_parameters_subject2_session1_motor , registered
fp_resample_subject1_session1_motor , running
fp_resample_subject1_session1_motor , finished
fp_concat_transf_nl_subject2 , registered
fp_motion_parameters_subject2_session1_motor , running
fp_motion_parameters_subject2_session1_motor , finished
fp_concat_transf_nl_subject2 , running
fp_concat_transf_nl_subject2 , finished
fp_qc_motion_subject1 , registered
fp_time_filter_subject1_session1_motor , registered
fp_qc_motion_subject1 , running
fp_qc_motion_subject1 , finished
fp_resample_subject2_session1_motor , registered
fp_time_filter_subject1_session1_motor , running
fp_time_filter_subject1_session1_motor , finished
fp_resample_subject2_session1_motor , running
fp_resample_subject2_session1_motor , finished
fp_mask_corsica_subject1 , registered
fp_qc_group_coregister_anat_stereonl , registered
fp_mask_corsica_subject1 , running
fp_mask_corsica_subject1 , finished
fp_qc_motion_subject2 , registered
fp_qc_group_coregister_anat_stereonl , running
fp_qc_group_coregister_anat_stereonl , finished
fp_confounds_subject1_session1_motor , registered
fp_qc_motion_subject2 , running
fp_qc_motion_subject2 , finished
fp_time_filter_subject2_session1_motor , registered
fp_confounds_subject1_session1_motor , running
fp_confounds_subject1_session1_motor , finished
fp_mask_corsica_subject2 , registered
fp_time_filter_subject2_session1_motor , running
fp_time_filter_subject2_session1_motor , finished
fp_sica_subject1_run1 , registered
fp_mask_corsica_subject2 , running
fp_mask_corsica_subject2 , finished
fp_component_supp_subject1_run1 , registered
fp_sica_subject1_run1 , running
fp_sica_subject1_run1 , finished
fp_confounds_subject2_session1_motor , registered
fp_component_supp_subject1_run1 , running
fp_component_supp_subject1_run1 , finished
fp_confounds_subject2_session1_motor , running
fp_confounds_subject2_session1_motor , finished
fp_component_sel_stem_subject1_run1 , registered
fp_component_sel_ventricles_subject1_run1 , registered
fp_component_sel_stem_subject1_run1 , running
fp_component_sel_stem_subject1_run1 , finished
fp_qc_corsica_var_subject1_session1_motor , registered
fp_component_sel_ventricles_subject1_run1 , running
fp_component_sel_ventricles_subject1_run1 , finished
fp_smooth_subject1_session1_motor , registered
fp_qc_corsica_var_subject1_session1_motor , running
fp_qc_corsica_var_subject1_session1_motor , finished
fp_sica_subject2_run1 , registered
fp_smooth_subject1_session1_motor , running
fp_smooth_subject1_session1_motor , finished
fp_component_supp_subject2_run1 , registered
fp_sica_subject2_run1 , running
fp_sica_subject2_run1 , finished
fp_qc_group_coregister_func , registered
fp_component_supp_subject2_run1 , running
fp_component_supp_subject2_run1 , finished
fp_qc_group_coregister_func , running
fp_qc_group_coregister_func , finished
fp_component_sel_stem_subject2_run1 , registered
fp_component_sel_ventricles_subject2_run1 , registered
